Timestamp,Name something parents miss about their pre-baby lives,Name something new parents constantly buy,Name an event parents do not want to miss in their child's life,Name something people do to entertain a baby,Name a good toy for a new baby,Name something that's cute when a baby does it but not when an adult does it,Name a reason the baby might be crying,Name something new parents will try to do when the baby's asleep,Name a place where people hope not to have a baby sitting near them,Name a situation you don't want to be in when your water breaks,"The parents just said ""oh no!"" ...what did the baby do?","If you could go back to being a baby for a day, name something you'd enjoy the most",Name something your partner does that's just like a baby,Name something you would not want a babysitter doing on the job,"Name something a baby shouldn't touch, but might try to"
4/5/2023 21:56:14,Sleep,Diapers,First birthday ,Peek a boo,Play gym,Fart,Hungry ,Shower,Airplane,Out of the house,Diaper blow out,Lots of sleep ,Fart,Smoking,Electric outlet
4/5/2023 21:57:29,Sleep,Diapers,Birth,Peekaboo,Rattle,Poops their pants,Hunger,Sleep,Airplane,Work,Fall,No job,Whines,Drinking,Stove 
4/5/2023 21:58:14,Being on time,Clothes,First birthday,Peek a boo,Playgym,Farts,Hungry,Sleep,Airplane,In a crowded space,Rolled off their mat,Having no responsibilities ,Gets angry when overtired,Sleeping,Cables
4/5/2023 22:00:28,Sleep,Diapers,First steps,Make silly faces,Rattle,Blow spit bubbles,Trapped gas,Clean,The bathroom,Working,Blowout,Being held all the time,Makes a mess while eating,Watching inappropriate tv,Outlets
4/5/2023 22:01:20,Sleep,Coffee,First steps,Read ,Rattle,Fart,Tired,Sleep,Plane,Work,Dropped food,Stroller,Make mess,Phone,Remote
4/5/2023 22:01:25,Sleep,Diapers,All of them,Sing,Anything crinkley,Fart,Hungry,Clean,Airplane ,Sex ,Spit up ,Being cozy ,Whine,Playing on their phone,Litter box 
4/5/2023 22:01:29,Sleep,Wipes,First smile,Make funny faces,Blocks,Drools,Hungry,Sleep also,A plane,Grocery shopping,Had a blowout,Getting carried around,Burps,Drinking,The stove
4/5/2023 22:02:33,Sex,Diapers,Graduation(s),Sing to them,Contrast cards,Pterodactyl shrieks,They're hungry,Shower,On an airplane,Giving a presentation,Had a blowout,Constant playtime,Poops,Drinking,The stove
4/5/2023 22:03:37,Sleep,Diapers,Everything,Sing,Rattle,Fart,Hungry,Eat,Plane,At work,Grab something,Sleeping,Fart,Inviting friends over,Knife
4/5/2023 22:04:37,Sleep ,Diapers,First word,Peekaboo ,Rattle,Roll around,Hungry,Sleep,Airplane ,In the middle of a work presentation ,Have a blowout,Naps ,Cry when hungry ,Go on their phone ,Outlets
4/5/2023 22:05:14,Sleep,Diapers,First steps ,Peek a boo,Rattle,Drools,Hungry,Sleep,Bus,Spin class,Fall,Sleep,Laughs,Smoking,Dogs food
4/5/2023 22:05:29,Sleep,Takeout,First steps,Peek a boo,Rattle,Fall asleep while eating,Hungry,Clean,Airplane ,Driving,Blow out,Sleeping,Spills food/drinks,Sleeping,Outlets
4/5/2023 22:05:57,Sleep,Diapers ,Doctor appointment ,Sing songs,Black and white book ,Fart,Too tired ,Wash bottles,Bathroom ,At work ,Spit up ,Stroller ride ,Startles at noises ,Sleeping ,Everything 
4/5/2023 22:06:43,Sex,Diapers,Birthdays ,Peekaboo ,Activity mat,Spit bubbles,Hungry,Sleep ,Restaurant,Flying/airplane ,Blow out diaper,Sleeping ,Cuddles ,Smoking,Pet bowls
4/5/2023 22:08:47,Alone time,Diapers ,Birthday ,Silly noises ,Rattle ,Pee/poo,Hungry,Sleep,Plane,Stage performance ,Spit up,Sleeping whenever,Fart loudly ,Smoking ,Outlet 
4/5/2023 22:11:30,Sleep,Takeout,First word,Sing,Rattle,Fart,Hungry,Clean,Airplane,Movie theater ,Spit up,Naps,Whine,Smoking,Plunger
4/5/2023 22:14:08,Good sleep ,Diapers,First steps,Make funny noises,Rattle,Picking their noise,Hungry,Sleep,Doctors office,At work,Fell down,Being carried,Get upset,Texting,Trash can
4/5/2023 22:15:30,Sleep,Diapers,Walking ,Sing,Rattle,Farting ,Hungry,Sleep ,Airplane,Traveling,Spit up,Naps,Naps,Smoking,Ceiling fan
4/5/2023 22:19:06,Freedom,Diapers,First steps,Peek-a-boo,Mirror,Fart,Hungry,Watch tv,Airplane,Grocery shopping,Diaper blowout,Sleeping in your parents arms ,Sleep,Having people over,Stove
4/5/2023 22:19:15,Sleep,Diapers,First steps,Sing,Plush,Fart,Hunger,Sleep,Plane,In a meeting,Spit up,Sleeping all day,Dirty their clothes when eating ,Hanging out with friends,Our food
4/5/2023 22:21:02,Sleep,Nappies ,First steps,Sing,Mirror,Farts,Gas,Sleep,Movie theatre ,On a plane,Nappy blowout,Sleeping,Burps,Drinking,Poop
4/5/2023 22:26:08,Sleep,Baby clothes,First words,Read to them,Kick and Play piano,Farts,Hungry,Sleep,Airplane,Having sex,Spit up,Being cuddled,Gets easily distracted,Drinking,The stove
4/5/2023 22:26:30,Traveling ,Diapers,Birthday,Sing,Teethers ,Fart,Hungry,Chores,Airplane,Shopping,Had a blowout,Contact naps ,Stretches,Sleeping,Wires
4/5/2023 22:26:58,Sex,Diapers,Birthday ,Dance,Rattle,Fart,Hungry,Shower,Airplane,On a cruise ,Spit-up,Sleeping,Burps,Drinking,Stove
4/5/2023 22:28:08,Going out with friends ,Wipes,Wedding,Peek-a-boo,Teething ring,Chew on their fingers ,Gassy,Sleep,Restaurant ,At work,Pooped everywhere ,Being carried around ,Asking for help,Drinking ,Coffee
4/5/2023 22:29:29,Sleep,Diapers,First steps ,Jingle keys,Rattle,Burp,Hungry,Eat,Movie theater ,On an airplane ,Shit through onesie,Snuggling,Poops a lot,Drinking,Cat butthole 
4/5/2023 22:30:48,Spontaneous travel ,Dock a tot,Birthday,Make funny sounds,Fisher price piano gym,Poops everywhere,Hungry,Sleep,Airplane,Hours away from a hospital,Spit up,Being pushed around in a cozy stroller,Poops all day,Drinking,Outlet
4/5/2023 22:31:03,Sleep,Diapers,First birthday,Sing,Soft plush toy,Touches your face ,Tired,Relax,Resteraunt ,On a cruise,Spit up,Sleep,Sleeps,Sleep,Phone
4/5/2023 22:34:11,Sleep,Diapers,First word,Dance,Teether,Eat their toes ,Hungry,Shower,Airplane,Work,Peed/pooped during changing,Cuddles,Smiles,Ignoring the baby ,The fan
4/5/2023 22:34:32,Staying out late,Diapers,First steps,Peek a boo,Rattle,Sneeze,Hungry,Eat,Airplane,Job interview,Spit up,Napping,Napping,Napping,Her own eyes
4/5/2023 22:35:05,Sleep,Formula,First laugh,Sing,O ball,Stick their fingers in your mouth,Hangry,Catch up on Netflix,Airplane,Hair color appointment,Blowout,Discovering feet,Needs food every 2 hours,Drinking,Hot oven
4/5/2023 22:35:27,Sleep,Diapers,Birth,Sing,Book,Poops,Tired,Sleep,Airplane ,Airplane ,Throw up ,Sleeping ,Complains ,Drinking ,Electrical outlet 
4/5/2023 22:36:23,Sleep,Snacks (for breastfeeding mom),First steps,Sing silly songs,Soft rattle,Farts,Hungry,Eat in peace,On a plane,In traffic,Poop explosion,No responsibility ,Leaves messes,Drugs,Cat's butthole 
4/5/2023 22:38:21,Time,Diapers,Birthdays,Peek-a-boo,Rattle,Farts,Gas/Wind,Clean bottles,Movie Theater,At work!,Blowout,Baby bouncer,Grunts in sleep,Smoking,Stove
4/5/2023 22:39:09,Sleep,Diapers,First steps,Peek a boo,Stuffed animal,Blow rasberries,Hungry,Clean,Movie theater ,Driving,Fall,Naps,Farts all day,Drinking,Outlet
4/5/2023 22:40:33,Sex,Diapers,Birthdays,Sing,Play gym,Drooling,Hunger,Eat,Airplane,At work,Spit up,Napping,Farts,Sleeping,Electric outlets
4/5/2023 22:41:35,Sleep,Wipes,Birthday,Peekaboo,TV Remote,Fart,Tired,Chores,Airplane,Going to bed,Throw up,Sleep,Throw tantrum,Ignoring baby,Phone
4/5/2023 22:42:05,Sleep,Diapers,First steps,Sing,Stuffed animal,Burp,Hungry,Clean,Airplane,At the store ,Spit up ,Sleep,Gets mad when hungry / hangry,Drinking ,Eyeballs 
4/5/2023 22:42:51,Sleep,Diapers,Wedding,Peek-a-boo,Rattle,Crawl,Hungry,Sleep,Airplane,Yoga,Diaper blowout,Cuddles,Picky eater,Having friends over,Electrical outlet
4/5/2023 22:43:45,Sleep,Diapers,Birth,Sing,Rattle,Poop their pants,Hunger,Sleep,Airplane,At the office ,Blowout ,Not having to wake up to use the bathroom,Hiccup,Drinking,Parent’s alcohol
4/5/2023 22:44:01,Sleep,Wine,First smile,Baby talk,Wubba nub,Toots,Misses you,Shower,Airplane,Getting a wax,Spit up on them,Napping guilt free,Needs attention,Sleeping,My hair (pulls)
4/5/2023 22:44:40,Sleep,Diapers,First steps,Sing,Crinkle book,Toot/pass gas,Hungry,Sleep,Airplane,Traveling,Diaper blow-out,Naps!,Laughs,Sleeping,Coffee mug
4/5/2023 22:46:18,Sex,Diapers,First words,Sing songs,Stuffed animal,Farts loudly,Hungry ,Watch tv,Airplane ,Job interview ,Poop blowout,Eating whenever I want,Burps after eating ,Drinking ,The dog
4/5/2023 22:46:39,Sleep,Diapers ,First steps,Peek a boo ,Rattle ,Fart,Hungry ,Sleep,Doctor’s office ,At work ,Throw up ,Not working ,Whine,Sleeping,Outlet
4/5/2023 22:48:08,Drugs ,Diapers,First words,Sing,Your face,Fart,Hungry,Chores,Airplane,Sex,Blowout,No responsibilities,Whine,Sleeping ,Outlet
4/5/2023 22:49:06,Sleep,Diapers,First steps ,Sing,Contrast cards,Farts,Hungry,Sleep,Airplane ,Driving,Blowout ,Snuggles,Whines,Drinking alcohol ,Eyeballs 
4/5/2023 22:49:30,Date night,Diapers,First words,Jingle keys,Lovey,Fart,Hungry,Sleep,Plane,On trial,Diaper blowout,No responsibilities ,Whine,Baby fight club,Anything sharp and shiny 
4/5/2023 22:50:05,Sex life,Diapers,Wedding,Read a book,Rattle,Farts,Hungry,Clean,Airplane,Boating,Puke,Napping,Shits their pants ,Having boyfriend over ,Electric socket
4/5/2023 22:50:18,Sleep,Diapers,First steps ,Sing,Stuffed animal ,Drools,Dirty diaper ,Sleep ,Movie theater ,Work,Pooped ,Cuddles,Whines,Sleeping ,Hot stove 
4/5/2023 22:50:34,Freedom ,Diapers,Birth ,Sing,Books,Burp,Hungry ,Sleep ,Restaurant ,Work,Blowout ,Ignorance,Hangry,Smoking ,Flame 
4/5/2023 22:51:44,Free time,Diapers ,Birthday ,Blow raspberries,Rattle,Fart,Diaper,Chores,Airplane,Vacation ,Drop pacifier ,Cuddles ,Poop a lot ,Smoking ,Outlet 
4/5/2023 22:52:28,Sleep,Coffee,First smile,Make faces,Playmar,Fart,Farts,Sleep,Plane,Plane,Blowout,Sleeping,Eating lots,Skydiving,Stove
4/5/2023 22:52:47,Time,Crap,First words ,Act silly,"None, it's a potato",Pass gas,Hungry,Sleep,Airplane,Having sex,Leaking diaper,No worries,Wiggles,Sex with boyfriend,Coffee cup
4/5/2023 22:52:58,Sleep,Diapers,First day of school,Bounce,Rattle,Fart,Tired,Revenge time,Airplane ,Traffic jam,Blowout,Sleeping,Pees a lot,Having sex,Outlet
4/5/2023 22:54:42,Sleep,Nappies,First step,Peekaboo,Rattle,Breastfeed,Dirty diaper,Sleep,Plane,In public,Poonami,Sleep,Snore,Drinking,Power socket
4/5/2023 22:54:53,Date Night,Diapers,First Word,Make silly faces,Rattle,Cry,Hungry,Cook,Airplane,Church,Throw up,Sleeping,Whine,Smoking,Cactus
4/5/2023 22:55:51,Sleeping in,Wipes,First steps,Silly faces,Teether,Farting ,Hungry ,Clean,Airplane ,At work,Blowout ,Sleeping,Snore,Drinking,Electrical outlet
4/5/2023 22:56:40,Sleep,Diapers,First steps,Make silly faces,Rattle ,Burp,Hungry,Sleep,Airplane,At work,Pooped on them ,Being carried around,Fart ,Ignoring the baby,Knife
4/5/2023 22:59:04,Sleep,Diapers,Birthdays ,Sing,Ball,Make poop faces,Hungry ,Relax,Airplane ,Public,Poopsplosion,Sleeping during the day,Is silly,Leaving baby,Electrical socket 
4/5/2023 22:59:49,Sleep,Coffee ,First word,Sing,Teether ,Fart,The woke up ,Take a shower,Airplane ,In public,Pee during a diaper change,Snuggles with parents ,Fart,Smoking ,Everything 
4/5/2023 23:00:00,Sleep,Diapers,First steps,Peek-a-boo,Rattle,Farting,Needs to poop,Sex,Plane,Stuck in an elevator,Spat up,Being carried around,Cries,Drinking,The cat
4/5/2023 23:00:16,Having sex!,Nappies!,First birthday,Sing,Activity gym,Sucks thumb ,Hungry,Literally anything lol! Go for a drive,Plane!,Shopping,Fell on bum,Discovering my hands!! My baby loves those ha ds!,Loud farts!,Sleeping,Plug socket
4/5/2023 23:01:07,Sex,Take out ,Graduation ,Screen time,Balloon ,Drool,Gassy,Sex,Emergency Room,Airplane,Tumble ,Leisure ,Reflux ,Hooking up,Knife 
4/5/2023 23:01:14,Sleeping in,Diapers,Graduation,Make faces,Stacking rings,Fart,Overstimulated ,Watch a movie,Doctor’s office,Flying,Eat something bad,Not cleaning up after myself,Request attention ,Smoke/drugs,Earrings
4/5/2023 23:01:25,Sleeping,Diapers,First steps,Sing,Mobile,Fart,Hungry,Clean,Fancy restaurant ,Elevator ,Fall,Naps,Get hangry,Texting ,Shoes
4/5/2023 23:03:04,Sleep,Diapers,First steps ,Make faces ,Kick and play piano,Spit bubbles,Tired ,Clean ,Airplane ,In the car ,Diaper blowout ,Cuddles ,Farts all the time ,Drinking ,Power cords
4/5/2023 23:03:27,Alone time,Clothes,Birthdays,Sing,Rattle,Fart,Wants held,Sex,Airplane ,Traffic,Fall,Cuddles,Sleep,Smoking,Eye glasses!!
4/5/2023 23:06:12,Sex,Formula ,First time standing ,Look stupid/silly,Anything that rattles,Fart,Hungry,Sleep,Restaurant ,On a plane,Flipped to stomach and can’t flip back ,Baby food,Burp,Ignoring the baby,Tv remote
4/5/2023 23:06:17,Sleep,Diapers,Birthday,Sing,Rattle,Grunt,Hungry,Have sex,Airplane,Church,Pooped,Relax,Whine,Sleeping,Stove
4/5/2023 23:06:21,Free time,Diapers ,First steps,Make silly faces,Rattle,Put their hands in their mouth,Hungry ,Clean,Airplane,At work,Spit up ,Sleep,Naps,Watching movies/TV,Hot oven
4/5/2023 23:07:28,Going out to restaurants ,Diapers,First word,Make silly faces,Rattle,Fart,Hungry ,Exercise ,Airplane ,Out in public ,At something off the ground,No bills,Want to be taken care of,Drinking,Dog food
4/5/2023 23:07:57,Sleep,Cute clothes,First steps,Sing,Kick and Play Piano,Fart,Hungry,Clean,A plane,Shopping,Poop,Sleep,Whines,Sleeping,The stove
4/5/2023 23:09:22,Sleep,Formula ,First words,Clap,Teething ring,Passes Gas,Gas,Sex,Restaurant,The car,Vomit,Nap ,Sleep,Leaving,Cat food
4/5/2023 23:09:42,Sex,Clothes,First words,Peek a boo,Rattler,Shart,Shart,Sex,Plane,Dinner,Blowout,Sleep,Fart,Sleep,Anything dangerous
4/5/2023 23:10:49,Alone time ,Diapers ,Birth,Peek a Boo,Rattle,Throws up ,Gas,Sing,Flight,Road trip  ,Fell,Sleep,Whines,Drinking ,Cords 
4/5/2023 23:12:40,solid sleep ,clothes,first steps,sing,kick and play piano ,farts and coughs at the same time ,overtired,Have sex,movie theater ,yoga,spit up ,being held all day,sprawl out,sleeping ,the cats butt
4/5/2023 23:13:48,Sleeping in,Wipes,First steps,Peek a boo,Rattle,Smile while pooping,Hungry,Chores ,Plane,At work ,Spit up,Sleeping all day,Whines,Sleeping ,Outlet
4/5/2023 23:15:16,Sleep,Socks,First word,Peek-a-boo,Hanging mobile ,Fart,Hungry,Sleep,Airplane ,Sex,Diaper blow out ,Not working ,Fart,Weed,Electrical sockets 
4/5/2023 23:16:12,Sleep,Diapers,First Words,Sing,Rattle,Poop face,Hungry,Sleep,Airplane,Grocery shopping,Spit up,Sleep,Farts,Drinking,Electrical outlet
4/5/2023 23:19:20,Date night,Diapers,Birthday,Peekaboo,Fisher price kick and play piano ,Poops their pants ,Tired,Scroll on their phone ,Movie theater ,Driving ,Diaper blowout ,Sleeping on mom and dad ,Whines when not getting attention,Letting the baby sleep on them ,My phone 
4/5/2023 23:19:28,Sleep,Diapers,First word,Sing,Activity mat,Fart,Hungry ,Sleep,Plane,Public transport,Blowout,Sleep ,Poop all the time ,Smoke,Their own poop
4/5/2023 23:20:05,Sex,Diapers,First steps,Peekaboo,Rattle,Farts,Hungry,Shower,Airplane,At work,Fell down,Being carried,Complains,Smoking,Cords
4/5/2023 23:21:53,Free time,Diapers,First steps ,Peekaboo,Rattle,Drools,Hungry,Nap,Airplane ,Stuck in traffic ,Spit up,Swing,Likes boobies,Sleeping,Wall socket 
4/5/2023 23:21:55,sleep,Diapers,First word,Funny faces ,Rattle,Fart,Hungry,Sex,Airplane ,Airplane ,Diaper blowout ,The swing,Glued to tv ,Drinking,Poop
4/5/2023 23:22:11,Sex,Diapers,First word,Peekaboo,Rattle,Fart,Hungry,Sleep,Plane,Traveling,Poop explosion,Endless laughter,Farts,Sleeping,Hot stove 
4/5/2023 23:22:13,Sex,Baby clothes,Graduation,Sing songs,Rattle,Farts,Hungry,Sleep,Restaurant ,Working,Started crying,Being held,Sleeps a lot,Drinking,Stove
4/5/2023 23:22:15,Sleep,Dipers ,Walking ,Read to them ,Rattle ,Fart,Hungry ,Watch a movie ,Movies,Driving ,Spit up,Sleep ,Burp,Be on their phone ,The cat 
4/5/2023 23:24:31,Solitude,Formula,Birthday,Make faces,Hanging mobile,Burps,Angry at the world,Dishes,Airplane,Road trip ,Spit up,Cuddles,Sleeps after eating,Sleeping,Glasses
4/5/2023 23:25:29,Showers,Diapers,First steps,Make faces,Rattle,Fart,Hungry,Sleep,Airplane,Shopping,Spat up,Snuggles,Sleep,Sleeping,Electrical outlet
4/5/2023 23:26:51,Sex,Diapers,First words,Dance,Rattle,Spit up,Gas,Sleep,Restaurant ,At the gym,Pooped everywhere ,Sleeping ,Table manners,Reading their phone,Electrical outlet 
4/5/2023 23:30:45,Sleep,Diapers,Walking and talking,Make faces,Flash cards,Making spit bubbles,You looked at it wrong,"Eat, shower, sleep",Movie theater ,On a flight,Poop blowout,Contact napping,Fuss,Sleeping,Poop diaper
4/5/2023 23:32:45,Sleeping,Diapers,First steps,Peekaboo,Rattle,Farts,Hungry,Sleep,Airplane,Grocery store,Throw up,Cuddles,Whine ,Texting friends ,Parents eye 
4/5/2023 23:32:46,Sleep,New clothes,First word,Make faces ,Rattle,Farts,Tired,Watch tv,Restaurant ,In public,Blowout,Snuggles,Burp,Hanging with friends ,Everything 
4/5/2023 23:33:08,Free time,Diapers,First steps,Make faces,Rattle,Farts,Hungry,Sleep,Airplane,At the store,Spit up everywhere,Naps,Poops,Sleeping,Electrical sockets
4/5/2023 23:34:31,Sleeping through the night ,Diapers ,First step ,Sing,Cloth blocks ,Babbling nonsensically ,Wet diaper ,Sleep ,Airplane ,Driving ,Threw the pacifier on the floor ,Snuggles,Falls asleep wherever ,Smoking ,Everything 
4/5/2023 23:36:57,Sleep,Diapers,First step ,Sing,Mirror,Pass gas,Hungry,Eat,Airplane ,At the store ,Blowout ,Snuggles ,Pass gas,Sleeping,Glasses
4/5/2023 23:38:43,Video Games,Butt Paste,First Word,Peek a boo,Fisher Price Kick n Play Piano,Fart,Tired,Make Whoopee,Fancy Restaurant,Stuck in traffic,Diaper Blowout,Constant Naps,Burps,Drugs,Their Poop
4/5/2023 23:39:05,Sleep,Clothes,Wedding,Sing,Stuffy,Smile at gas,Hungry,Each other,On a plane,Driving,Grab something it shouldnt have,Attention,Sleeps,Sleeping,Jewelry 
4/5/2023 23:43:54,Date nights ,Baby essentials,Milestones,Make silly faces,Musical light up toy,Farts,Gas,Rest,Plane,At the store,Eat cat/dog food,Being entertained by the silliest things ,Gets sick,Drinking/smoking,Outlets
4/5/2023 23:45:55,Sleep,Whiskey,First step,Mirror,Stuffed animal,Fart and giggle,Hungry ,Sex,Airplane ,Job interview,Poop,Sleep,Snore,FaceTiming ,Stove
4/5/2023 23:48:36,Drugs,Fruit,First steps,Sing,Hairbrush,Farts,Farts,Sex,Restaurant,On the subway,Spit up ,Staring at the mobile ,Stares at my boobs ,Masturbating ,Candle 
4/5/2023 23:51:49,Sleep,Diapers,First time they smile or giggle,Sing and dance,Rattle,Drool,Hungry,Sleep,Movie theater,At work,Diaper blow up,Being carried everywhere,Upset when hungry,Sleeping,Moms cocktail 
4/5/2023 23:54:38,Freedom,Diapers,Walking,Sing,Rattle,Crying,Hungry,Sleep,Airplane,Driving,Pooped,Napping,Sleeps,Smoking,Phone
4/5/2023 23:56:30,Free time,Toys ,First words,Make silly faces,Nothing,Fart,Colics ,Clean,Airplane,Shopping ,Vomit ,Being carried ,Random dancing ,Sleep,Phone
4/5/2023 23:57:06,Traveling,Diapers,First steps,Jingle keys,Rattle,Call something by wrong name,Indigestion ,Sleep,Airplane,At work,Diaper blowout,Sleeping,Fall asleep anywhere,Smoking,Pet's butt
4/5/2023 23:57:09,Sleep!,Diapers,First steps,Make funny faces/sounds,Ceiling fans!,Farts ,Hungry,Sleep,Airplane,In a meeting,Had a blowout... So much poop,Sleeping and being carried around all day,Gets hangry ,Sleeping,Outlets
4/5/2023 23:59:14,Sleep,Diapers ,First steps ,Sing ,Black and white book,Fart,Hungry,Clean ,Restaurant ,Driving ,Blowout ,Naps ,Stares at screens ,Drinking ,Plants
4/6/2023 0:01:04,Hobbies,Takeout,First step,Peek a boo,Rattle,Fart,Hungry,Stay awake,Airplane,Airplane,Dropped something,Not going to work ,Points,Sleeping,Cat’s butthole 
4/6/2023 0:01:08,Sex,Formula,Their wedding,Dance,Rattle,Sneeze,Hungry,Sleep,Strip club,Flying on a plane,Grabbed a cats tail,Sleeping,Farts,Their boyfriend/girlfriend ,Their poop
4/6/2023 0:01:52,Brunch,Anything to help baby sleep,First words,Peek a boo ,Rattle,Blow raspberries ,Tired,Sleep,Airplane ,At work ,Vomit,Cuddles ,Cuddles ,Smoking ,Poop
4/6/2023 0:03:52,Sleep ,Diapers,First smile,Silly sounds,Rattle,Fart,Hungry,Sleep,Plane ,At work,Blowout diaper ,Naps ,Burps,Sleeping ,Phone
4/6/2023 0:05:09,Sleep,Diapers,First steps,Make silly faces,Rattle,Toot,Hungry,Clean,Restaurant,In traffic,Spit up,Naps,Whining about child support,Drinking,His own poopy diaper
4/6/2023 0:07:34,Sleep,Diapers,First steps,Sing,Rattle,Fart,Hungry,Shower,Restaurant ,Traffic,Blow out,Napping,Makes messes ,Drinking,Something hot
4/6/2023 0:07:51,Free time,Take out,First steps,Peek a boo,Kick and play piano ,Fart,Hungry ,Clean ,Movie theatre ,Stuck in traffic ,Blow out diaper ,Sleeping ,Sleep anywhere ,Taking pictures ,Any choking hazard 
4/6/2023 0:08:07,Sex,Diapers,Birthday ,Make faces,Teether,Pooping ,Hungry,Clean,Bar,At the gym ,Spilled drink,Naps,Picky eater,Meth,Stove
4/6/2023 0:08:41,Spontaneity ,Diapers,First steps,Sing a song,Rattle,Gets food all over their face,Needs a diaper change ,Sleep,Airplane ,Giving a speech ,Barf all over their nice outfit ,Unlimited naps,Demand attention ,Smoking, Hit stovetop 
4/6/2023 0:08:53,Free time,Diapers,First steps,Make faces ,Rattle,Big farts,Hungry,Sleep,Movie theater,Shopping,Dropped something,Being held,Sleep,Calling or texting,Trash
4/6/2023 0:09:12,Sleep,Coffee,Walking,Sing ,Teething toy,Fart,Gas,Sleep,Restaurant ,Flying ,Spit-up ,Snuggles with my parents,Snore ,Social media ,Animal butts
4/6/2023 0:09:21,Nights out,Diapers,First steps ,Make faces,Rattle,Fart,Hungry,Sex,Toilet ,Our in public ,Blowout ,Snuggles,Poop,Sleeping,Electrical outlet 
4/6/2023 0:10:19,Getting out the door with ease,Bananas ,First step,Sing silly songs ,Crinkly soft book,Poop their pants ,Cold,Shower,Plane,At work,Threw their cup for the hundredth time ,Snuggles,Cranky when sleepy ,Too much screen time ,Dog’s tail
4/6/2023 0:11:13,Sleep,Diapers,First steps,Peek-a-boo,Rattle,Drool,Hungry,Each other,Airplane,Traffic,Spit up,Napping,Easily entertained,Sleeping,Outlet
4/6/2023 0:12:18,Sleeping in ,Clothing ,First words,Coo,Rattle,Spit bubbles,Is cold,Shower ,Library ,On a plane ,Diaper blowout,Cuddling,Farts,Smoking,Sockets
4/6/2023 0:15:15,Sleep,Diapers,First word,Peek a boo,Teether,Farts,Cold,Clean,Plane,Dressing room,Blowout,Naps,Contact sleeping,Throwing a party,Electrical outlets
4/6/2023 0:18:39,Sleep,Diapers,First steps,Make funny faces,Mirror,Shart ,Hungry,Sleep,Airplane,trying on clothes,Spit up,Sleep,Fart,Smoking,Fire
4/6/2023 0:21:56,Going out,Diapers,Birthdays,Peek a boo,Teether,Poop face,Hungry,Sleep,Airplane,At work,Spit up,Being swaddled,Cry,Dating ,Hair
4/6/2023 0:23:37,Free time,Diapers,First smile,Funny noises ,Rattle,Fart,Hunger ,Sleep,Airplane,Work,Blowout ,Sleeping any time,Stretch,Napping,Cords
4/6/2023 0:23:53,Sleep,Diapers,First word,Sing,Bouncer,Fart,Gas,Sleep,Airplane,Airplane,Spit up,Sleep,Stare,Sleep,Poop
4/6/2023 0:26:47,Sleep,Diapers ,First steps,Make faces ,Teethed ,Fart ,Hungry ,Have sex ,Movie ,Working ,Spat up ,Sleep ,Fart ,Drinking ,Stove 
4/6/2023 0:27:12,Sleep,Diapers,First steps,Funny voices,High-contrast images,Spit out food,They're hungry,Zone out ,Airplane,Traffic jam,Fall,Splashing in puddles,Sleep,Sleeping,Electrical plug
4/6/2023 0:30:08,Sleep,Diapers,First words,Peek-a-boo,Stuffed animal,Farting,Pooping,Take a nap,Restaurants ,Flying,Diaper blowout,No responsibility ,Farting,Drinking ,Electrical outlets 
4/6/2023 0:31:59,Date night,Diapers,Wedding,Peekaboo,Rattle,Farts,Hungry,Sleep,Airplane,In front of an audience,Spit up,Being cuddled,Fart,Cocaine,Electric socket 
4/6/2023 0:32:47,Sleep,Wipes,First word,Make faces,Teether,Yell,Hungry,Sex,Restaurant,Working,Blowout,Naps,Whine,Having a party ,Stove
4/6/2023 0:32:53,Sleep,Diapers,Birth,Sing,Tv remote,Fart,Hungry,Laundry,Plane,Work,Diaper leak,Sleep,Whine,Keepjng them up late,Sockets
4/6/2023 0:33:43,Sex,Diapers,Birthday,Peekaboo,Rattle,Drool,Hungry,Sex,Airplane,Airplane,Bumped their head,Being snuggled,Sleeps,Partying ,Toilet water
4/6/2023 0:33:57,Sexy time,Diapers,First steps,Make faces,Rattle,Poop their pants,Hungry,Sleep,Movie theater,Having sex,Fell,Being carried,Whines,Ignoring the kid,Electrical socket 
4/6/2023 0:34:06,Sleep,Diapers,First laugh,Play peek a boo,Mobile,Pass gas,Hungry,House keeping,Airplane,Alone in public,Vomit or spit up milk,Being held,Wants new toys daily,Ignoring my baby,Litter box
4/6/2023 0:37:23,Not having to plan for every small thing ,Diapers ,Birth,"Dance to ""baby shark do do do do do do""",Einstein musical baby toy,Fart,Because they are a baby ,Chores,Flight ,In the office ,Grabbed the poop while changing diaper and threw it all over,Cuddling mom and dad,Sleep with bum up,Sleep ,Poop
4/6/2023 0:42:05,Sleep,Diapers,First words,Sing,Rattle,Farts,Dirty diaper,Sleep,Airplane ,Out to dinner ,Spit up,Eating whatever I want ,Cries,Texting ,Hot mug
4/6/2023 0:42:22,Sleep,Diapers,First words,Sing,Rattle ,Spits up,Hungry,Sleep,Movie theater,Driving,Pee without a diaper on,Cuddles ,Sleep,Drinking alcohol,The dog 
4/6/2023 0:45:49,Sleep,Diapers,First steps,Peek a boo,Rattle,Babble,Hungry,Sleep,Theater,On a plane,Poop,No bills ,Laugh,Drugs,Stove
4/6/2023 0:48:11,Sleep,Diapers,First steps,Play peekaboo,High contrast book,Farts,Ennui,Cry,Movie theatre,In the car,Projectile vomit ,Being carried around,Poops loudly with no shame,Sleeping,Your eye
